enterprise_id,enterprise_name,county,sub_county,ward,value_chain,ownership_category,employees,registration_status,year_established,capacity_score,support_need,latitude,longitude
169,Kiambu BioWaste Traders 169,Kiambu,Limuru Central,Limuru Central,Organic Waste,Youth-owned,6,Registered,2016,4,Technical training,-1.063528,36.723372
170,Kiambu Green Building Materials 170,Kiambu,Juja,Juja,Circular Construction Materials,Youth-owned,25,Registered,2023,1,Access to finance,-1.203332,36.791053
171,Kiambu E-Waste Hub 171,Kiambu,Thika Town,Thika Town,Electrical and Electronic Waste (E-waste),Women-owned,25,Not Registered,2022,5,Technical training,-1.228574,36.77807
172,Kiambu Textile Upcyclers 172,Kiambu,Ruiru,Ruiru,Textiles,General/Other,20,Not Registered,2020,4,Access to finance,-1.086722,36.82409
173,Kiambu Compost Works 173,Kiambu,Juja,Juja,Organic Waste,General/Other,12,Registered,2018,2,Technical training,-1.161279,36.92952
174,Kiambu Fabric Reclaim 174,Kiambu,Limuru Central,Limuru Central,Textiles,Women-owned,15,Not Registered,2016,5,Market linkages,-1.285092,36.848565
175,Kiambu Black Soldier Fly Farm 175,Kiambu,Gatundu South,Gatundu South,Organic Waste,General/Other,3,Not Registered,2025,5,Access to finance,-1.118871,36.841767
176,Kiambu Repurposed Plastics Co 176,Kiambu,Limuru Central,Limuru Central,Plastics and Packaging,General/Other,15,Registered,2017,5,Certification/standards,-1.128174,36.798284
177,Kiambu E-Waste Hub 177,Kiambu,Thika Town,Thika Town,Electrical and Electronic Waste (E-waste),Youth-owned,25,Registered,2023,2,Technical training,-1.091866,36.839945
178,Kiambu Compost Works 178,Kiambu,Kikuyu,Kikuyu,Organic Waste,Youth-owned,12,Registered,2025,3,Business registration support,-1.244288,36.945124
179,Kiambu Textile Waste Hub 179,Kiambu,Juja,Juja,Textiles,PWD-owned,15,Registered,2015,5,Technical training,-1.254393,36.873696
180,Kiambu Plastics Recyclers 180,Kiambu,Gatundu South,Gatundu South,Plastics and Packaging,Youth-owned,15,Registered,2022,5,Equipment/machinery,-1.106355,36.779117
181,Kiambu Construction Waste Reuse 181,Kiambu,Gatundu South,Gatundu South,Circular Construction Materials,General/Other,10,Registered,2015,4,Technical training,-1.061804,36.831507
182,Kiambu Kitenge Revival 182,Kiambu,Limuru Central,Limuru Central,Textiles,Women-owned,6,Not Registered,2020,3,Certification/standards,-1.17518,36.764566
183,Kiambu Circuit Reclaim 183,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),Youth-owned,10,Registered,2016,1,Technical training,-1.167805,36.741084
184,Kiambu PET Collectors 184,Kiambu,Limuru Central,Limuru Central,Plastics and Packaging,General/Other,15,Not Registered,2018,2,Technical training,-1.084001,36.815952
185,Kiambu Kitenge Revival 185,Kiambu,Juja,Juja,Textiles,Women-owned,12,Registered,2018,1,Equipment/machinery,-1.179364,36.926578
186,Kiambu Textile Waste Hub 186,Kiambu,Kikuyu,Kikuyu,Textiles,Women-owned,12,Registered,2016,4,Technical training,-1.279722,36.783126
187,Kiambu Circuit Reclaim 187,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),Women-owned,15,Registered,2020,4,Access to finance,-1.116798,36.898926
188,Kiambu Construction Waste Reuse 188,Kiambu,Thika Town,Thika Town,Circular Construction Materials,Women-owned,15,Registered,2016,5,Certification/standards,-1.198676,36.823685
189,Kiambu TechWaste Solutions 189,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),Youth-owned,8,Registered,2015,5,Business registration support,-1.15752,36.803346
190,Kiambu Packaging Solutions 190,Kiambu,Gatundu South,Gatundu South,Plastics and Packaging,Women-owned,3,Registered,2024,5,Business registration support,-1.21147,36.829299
191,Kiambu Organic Waste Solutions 191,Kiambu,Limuru Central,Limuru Central,Organic Waste,Youth-owned,12,Registered,2024,3,Business registration support,-1.053652,36.893037
192,Kiambu Black Soldier Fly Farm 192,Kiambu,Thika Town,Thika Town,Organic Waste,General/Other,25,Not Registered,2025,5,Technical training,-1.202994,36.877314
193,Kiambu EcoPack 193,Kiambu,Limuru Central,Limuru Central,Plastics and Packaging,General/Other,4,Not Registered,2024,5,Business registration support,-1.227673,36.872942
194,Kiambu Circuit Reclaim 194,Kiambu,Juja,Juja,Electrical and Electronic Waste (E-waste),General/Other,4,Registered,2016,2,Certification/standards,-1.140434,36.864337
195,Kiambu Textile Upcyclers 195,Kiambu,Limuru Central,Limuru Central,Textiles,PWD-owned,15,Not Registered,2015,4,Business registration support,-1.216114,36.751944
196,Kiambu Textile Waste Hub 196,Kiambu,Ruiru,Ruiru,Textiles,Women-owned,3,Registered,2023,4,Technical training,-1.156787,36.955149
197,Kiambu Green Compost Co 197,Kiambu,Kikuyu,Kikuyu,Organic Waste,PWD-owned,10,Registered,2018,3,Business registration support,-1.129192,36.923837
198,Kiambu Green Compost Co 198,Kiambu,Kikuyu,Kikuyu,Organic Waste,Youth-owned,4,Not Registered,2022,3,Certification/standards,-1.237432,36.949099
199,Kiambu Black Soldier Fly Farm 199,Kiambu,Kikuyu,Kikuyu,Organic Waste,PWD-owned,15,Registered,2021,3,Access to finance,-1.156883,36.939876
200,Kiambu TechWaste Solutions 200,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),PWD-owned,20,Registered,2022,3,Equipment/machinery,-1.221691,36.784631
201,Kiambu Fabric Reclaim 201,Kiambu,Juja,Juja,Textiles,Youth-owned,25,Registered,2018,1,Business registration support,-1.226328,36.850484
202,Kiambu EcoPack 202,Kiambu,Ruiru,Ruiru,Plastics and Packaging,Women-owned,20,Not Registered,2015,4,Access to finance,-1.138293,36.728198
203,Kiambu Green Building Materials 203,Kiambu,Limuru Central,Limuru Central,Circular Construction Materials,Women-owned,6,Registered,2015,2,Technical training,-1.134706,36.926955
204,Kiambu EcoPack 204,Kiambu,Ruiru,Ruiru,Plastics and Packaging,General/Other,3,Not Registered,2015,2,Equipment/machinery,-1.162963,36.889148
205,Kiambu Electro Recovery 205,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),General/Other,5,Registered,2016,1,Access to finance,-1.066614,36.946512
206,Kiambu BioWaste Traders 206,Kiambu,Limuru Central,Limuru Central,Organic Waste,Women-owned,10,Registered,2016,2,Business registration support,-1.054016,36.845992
207,Kiambu Organic Waste Solutions 207,Kiambu,Gatundu South,Gatundu South,Organic Waste,Youth-owned,15,Registered,2018,3,Technical training,-1.181261,36.777344
208,Kiambu Textile Waste Hub 208,Kiambu,Gatundu South,Gatundu South,Textiles,Women-owned,20,Registered,2017,1,Equipment/machinery,-1.07611,36.914078
209,Kiambu TechWaste Solutions 209,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),Women-owned,5,Registered,2024,3,Technical training,-1.289761,36.807658
210,Kiambu PET Collectors 210,Kiambu,Gatundu South,Gatundu South,Plastics and Packaging,PWD-owned,3,Registered,2023,4,Technical training,-1.205107,36.772313
211,Kiambu Compost Works 211,Kiambu,Gatundu South,Gatundu South,Organic Waste,Women-owned,10,Registered,2024,2,Market linkages,-1.071529,36.786409
212,Kiambu Black Soldier Fly Farm 212,Kiambu,Gatundu South,Gatundu South,Organic Waste,Women-owned,20,Not Registered,2016,2,Market linkages,-1.159584,36.828599
213,Kiambu EcoBrick Works 213,Kiambu,Juja,Juja,Circular Construction Materials,Women-owned,12,Registered,2023,1,Business registration support,-1.122496,36.734345
214,Kiambu Fabric Reclaim 214,Kiambu,Kikuyu,Kikuyu,Textiles,PWD-owned,2,Not Registered,2022,5,Equipment/machinery,-1.086323,36.821642
215,Kiambu Repurposed Plastics Co 215,Kiambu,Ruiru,Ruiru,Plastics and Packaging,Youth-owned,5,Not Registered,2021,4,Certification/standards,-1.168221,36.825232
216,Kiambu Compost Works 216,Kiambu,Gatundu South,Gatundu South,Organic Waste,Women-owned,1,Not Registered,2016,1,Business registration support,-1.239104,36.733127
217,Kiambu E-Waste Recyclers 217,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),General/Other,8,Registered,2021,4,Technical training,-1.193272,36.900153
218,Kiambu E-Waste Recyclers 218,Kiambu,Gatundu South,Gatundu South,Electrical and Electronic Waste (E-waste),Youth-owned,3,Not Registered,2021,3,Access to finance,-1.060005,36.925493
219,Kiambu Green Building Materials 219,Kiambu,Gatundu South,Gatundu South,Circular Construction Materials,General/Other,20,Not Registered,2021,3,Equipment/machinery,-1.056506,36.915957
220,Kiambu EcoBrick Works 220,Kiambu,Ruiru,Ruiru,Circular Construction Materials,Youth-owned,20,Registered,2015,1,Access to finance,-1.231997,36.798678
221,Kiambu Fabric Reclaim 221,Kiambu,Thika Town,Thika Town,Textiles,Women-owned,25,Registered,2022,1,Market linkages,-1.267185,36.723658
222,Kiambu Textile Waste Hub 222,Kiambu,Ruiru,Ruiru,Textiles,Youth-owned,25,Registered,2024,3,Market linkages,-1.110347,36.901855
223,Kiambu Construction Waste Reuse 223,Kiambu,Ruiru,Ruiru,Circular Construction Materials,PWD-owned,5,Registered,2023,2,Equipment/machinery,-1.218977,36.749983
224,Kiambu Green Building Materials 224,Kiambu,Gatundu South,Gatundu South,Circular Construction Materials,Youth-owned,20,Registered,2023,3,Certification/standards,-1.1285,36.849004
225,Kiambu Black Soldier Fly Farm 225,Kiambu,Limuru Central,Limuru Central,Organic Waste,General/Other,4,Registered,2017,4,Market linkages,-1.255588,36.80595
226,Kiambu E-Waste Recyclers 226,Kiambu,Juja,Juja,Electrical and Electronic Waste (E-waste),Women-owned,5,Registered,2025,4,Market linkages,-1.192357,36.815562
227,Kiambu Repurposed Plastics Co 227,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,Youth-owned,20,Registered,2015,3,Equipment/machinery,-1.269209,36.8895
228,Kiambu Packaging Solutions 228,Kiambu,Juja,Juja,Plastics and Packaging,Women-owned,1,Registered,2018,3,Technical training,-1.117567,36.849724
229,Kiambu Repurposed Plastics Co 229,Kiambu,Ruiru,Ruiru,Plastics and Packaging,Women-owned,6,Not Registered,2021,2,Business registration support,-1.12445,36.884504
230,Kiambu E-Waste Hub 230,Kiambu,Gatundu South,Gatundu South,Electrical and Electronic Waste (E-waste),Women-owned,2,Not Registered,2022,4,Equipment/machinery,-1.205178,36.778375
231,Kiambu Organic Waste Solutions 231,Kiambu,Kikuyu,Kikuyu,Organic Waste,General/Other,5,Registered,2024,2,Access to finance,-1.216299,36.726572
232,Kiambu EcoBrick Works 232,Kiambu,Kikuyu,Kikuyu,Circular Construction Materials,Women-owned,12,Registered,2025,2,Equipment/machinery,-1.254821,36.794768
233,Kiambu BioWaste Traders 233,Kiambu,Limuru Central,Limuru Central,Organic Waste,Women-owned,6,Registered,2023,2,Certification/standards,-1.059438,36.869607
234,Kiambu Circuit Reclaim 234,Kiambu,Juja,Juja,Electrical and Electronic Waste (E-waste),Women-owned,1,Not Registered,2021,1,Certification/standards,-1.053722,36.945337
235,Kiambu Fabric Reclaim 235,Kiambu,Thika Town,Thika Town,Textiles,Women-owned,15,Registered,2024,3,Access to finance,-1.121679,36.717794
236,Kiambu Electro Recovery 236,Kiambu,Thika Town,Thika Town,Electrical and Electronic Waste (E-waste),Youth-owned,5,Registered,2019,5,Certification/standards,-1.289813,36.847994
237,Kiambu EcoPack 237,Kiambu,Gatundu South,Gatundu South,Plastics and Packaging,General/Other,12,Registered,2018,1,Access to finance,-1.129632,36.90908
238,Kiambu Reclaimed Materials 238,Kiambu,Kikuyu,Kikuyu,Circular Construction Materials,Women-owned,10,Registered,2018,3,Equipment/machinery,-1.095749,36.779758
239,Kiambu Compost Works 239,Kiambu,Gatundu South,Gatundu South,Organic Waste,Youth-owned,8,Registered,2015,4,Equipment/machinery,-1.053398,36.871575
240,Kiambu Packaging Solutions 240,Kiambu,Thika Town,Thika Town,Plastics and Packaging,General/Other,12,Not Registered,2018,5,Access to finance,-1.171434,36.819738
241,Kiambu Textile Waste Hub 241,Kiambu,Limuru Central,Limuru Central,Textiles,PWD-owned,15,Registered,2017,3,Business registration support,-1.226337,36.937398
242,Kiambu Compost Works 242,Kiambu,Ruiru,Ruiru,Organic Waste,PWD-owned,5,Registered,2018,4,Access to finance,-1.150511,36.896141
243,Kiambu EcoBrick Works 243,Kiambu,Gatundu South,Gatundu South,Circular Construction Materials,General/Other,25,Registered,2020,2,Certification/standards,-1.076234,36.795215
244,Kiambu Plastics Recyclers 244,Kiambu,Limuru Central,Limuru Central,Plastics and Packaging,Women-owned,8,Not Registered,2020,5,Business registration support,-1.235685,36.733844
245,Kiambu PET Collectors 245,Kiambu,Limuru Central,Limuru Central,Plastics and Packaging,General/Other,20,Registered,2021,4,Market linkages,-1.173655,36.800995
246,Kiambu EcoPack 246,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,Youth-owned,25,Not Registered,2017,2,Equipment/machinery,-1.099867,36.886746
247,Kiambu TechWaste Solutions 247,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),Youth-owned,2,Registered,2017,3,Technical training,-1.265828,36.716847
248,Kiambu Electro Recovery 248,Kiambu,Juja,Juja,Electrical and Electronic Waste (E-waste),Youth-owned,2,Registered,2020,3,Business registration support,-1.158262,36.813531
249,Kiambu E-Waste Recyclers 249,Kiambu,Kikuyu,Kikuyu,Electrical and Electronic Waste (E-waste),PWD-owned,15,Registered,2025,5,Market linkages,-1.192086,36.902601
250,Kiambu Circuit Reclaim 250,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),Youth-owned,5,Registered,2022,2,Equipment/machinery,-1.226859,36.780018
251,Kiambu PET Collectors 251,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,Women-owned,10,Registered,2019,5,Market linkages,-1.064787,36.888616
252,Kiambu Repurposed Plastics Co 252,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,General/Other,8,Not Registered,2025,4,Technical training,-1.089413,36.806774
253,Kiambu Green Building Materials 253,Kiambu,Kikuyu,Kikuyu,Circular Construction Materials,Youth-owned,8,Not Registered,2019,3,Market linkages,-1.21444,36.942947
254,Kiambu E-Waste Hub 254,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),General/Other,15,Registered,2023,3,Access to finance,-1.213187,36.782872
255,Kiambu Textile Waste Hub 255,Kiambu,Thika Town,Thika Town,Textiles,PWD-owned,25,Registered,2021,4,Technical training,-1.062679,36.826389
256,Kiambu Circuit Reclaim 256,Kiambu,Gatundu South,Gatundu South,Electrical and Electronic Waste (E-waste),Youth-owned,2,Registered,2024,4,Equipment/machinery,-1.21872,36.776244
257,Kiambu E-Waste Hub 257,Kiambu,Limuru Central,Limuru Central,Electrical and Electronic Waste (E-waste),General/Other,1,Not Registered,2020,4,Business registration support,-1.163152,36.937239
258,Kiambu Reclaimed Materials 258,Kiambu,Gatundu South,Gatundu South,Circular Construction Materials,Youth-owned,20,Registered,2024,3,Market linkages,-1.071944,36.741849
259,Kiambu TechWaste Solutions 259,Kiambu,Limuru Central,Limuru Central,Electrical and Electronic Waste (E-waste),Youth-owned,15,Not Registered,2018,5,Business registration support,-1.265973,36.739266
260,Kiambu TechWaste Solutions 260,Kiambu,Limuru Central,Limuru Central,Electrical and Electronic Waste (E-waste),PWD-owned,1,Registered,2019,2,Technical training,-1.180265,36.878693
261,Kiambu E-Waste Recyclers 261,Kiambu,Thika Town,Thika Town,Electrical and Electronic Waste (E-waste),Women-owned,4,Registered,2020,3,Equipment/machinery,-1.091884,36.890836
262,Kiambu E-Waste Recyclers 262,Kiambu,Limuru Central,Limuru Central,Electrical and Electronic Waste (E-waste),Youth-owned,2,Registered,2020,1,Certification/standards,-1.118121,36.824187
263,Kiambu Packaging Solutions 263,Kiambu,Gatundu South,Gatundu South,Plastics and Packaging,Youth-owned,10,Registered,2021,5,Equipment/machinery,-1.232861,36.757469
264,Nakuru Fabric Reclaim 264,Nakuru,Rongai,Rongai,Textiles,PWD-owned,15,Registered,2015,2,Equipment/machinery,-0.255908,36.048675
265,Nakuru Fabric Reclaim 265,Nakuru,Njoro,Njoro,Textiles,Youth-owned,3,Registered,2018,1,Business registration support,-0.227402,36.172619
266,Nakuru E-Waste Recyclers 266,Nakuru,Njoro,Njoro,Electrical and Electronic Waste (E-waste),General/Other,8,Registered,2024,3,Business registration support,-0.25189,36.076845
267,Nakuru PET Collectors 267,Nakuru,Njoro,Njoro,Plastics and Packaging,General/Other,15,Registered,2017,3,Business registration support,-0.199445,36.115209
268,Nakuru Compost Works 268,Nakuru,Naivasha East,Naivasha East,Organic Waste,PWD-owned,8,Registered,2024,5,Equipment/machinery,-0.361486,35.984913
269,Nakuru Electro Recovery 269,Nakuru,Naivasha East,Naivasha East,Electrical and Electronic Waste (E-waste),General/Other,3,Registered,2017,2,Business registration support,-0.307099,36.091214
270,Nakuru Thrift & Mend 270,Nakuru,Bahati,Bahati,Textiles,General/Other,4,Not Registered,2023,4,Market linkages,-0.267277,36.189657
271,Nakuru EcoBrick Works 271,Nakuru,Bahati,Bahati,Circular Construction Materials,General/Other,2,Registered,2018,4,Market linkages,-0.247691,36.054689
272,Nakuru Compost Works 272,Nakuru,Njoro,Njoro,Organic Waste,General/Other,10,Registered,2016,5,Certification/standards,-0.385647,36.016601
273,Nakuru Recycled Blocks Co 273,Nakuru,Njoro,Njoro,Circular Construction Materials,Women-owned,10,Registered,2021,1,Certification/standards,-0.220566,36.176985
274,Nakuru Packaging Solutions 274,Nakuru,Njoro,Njoro,Plastics and Packaging,Youth-owned,2,Not Registered,2018,1,Equipment/machinery,-0.190657,35.939669
275,Nakuru Textile Waste Hub 275,Nakuru,Rongai,Rongai,Textiles,Women-owned,3,Not Registered,2018,2,Business registration support,-0.347911,36.143226
276,Nakuru EcoPack 276,Nakuru,Njoro,Njoro,Plastics and Packaging,Youth-owned,15,Registered,2023,3,Technical training,-0.293416,36.109057
277,Nakuru Packaging Solutions 277,Nakuru,Bahati,Bahati,Plastics and Packaging,General/Other,3,Registered,2020,2,Certification/standards,-0.177469,36.227746
278,Nakuru Kitenge Revival 278,Nakuru,Bahati,Bahati,Textiles,Women-owned,2,Registered,2016,4,Equipment/machinery,-0.410449,36.119721
279,Nakuru E-Waste Hub 279,Nakuru,Rongai,Rongai,Electrical and Electronic Waste (E-waste),Women-owned,15,Registered,2016,4,Technical training,-0.369632,36.210901
280,Nakuru TechWaste Solutions 280,Nakuru,Nakuru East,Nakuru East,Electrical and Electronic Waste (E-waste),General/Other,5,Registered,2019,2,Equipment/machinery,-0.214397,36.049315
281,Nakuru Green Compost Co 281,Nakuru,Molo,Molo,Organic Waste,General/Other,2,Registered,2022,1,Access to finance,-0.413922,36.185727
282,Nakuru Plastics Recyclers 282,Nakuru,Naivasha East,Naivasha East,Plastics and Packaging,General/Other,3,Not Registered,2019,2,Certification/standards,-0.320714,35.930203
283,Nakuru Thrift & Mend 283,Nakuru,Nakuru East,Nakuru East,Textiles,Women-owned,8,Registered,2018,2,Access to finance,-0.256724,36.005117
284,Nakuru E-Waste Recyclers 284,Nakuru,Rongai,Rongai,Electrical and Electronic Waste (E-waste),Youth-owned,12,Registered,2015,5,Market linkages,-0.424545,35.994026
285,Nakuru PET Collectors 285,Nakuru,Nakuru East,Nakuru East,Plastics and Packaging,Youth-owned,8,Registered,2016,1,Market linkages,-0.156654,36.056694
286,Nakuru PET Collectors 286,Nakuru,Njoro,Njoro,Plastics and Packaging,General/Other,20,Registered,2023,2,Certification/standards,-0.188803,35.971139
287,Nakuru Recycled Blocks Co 287,Nakuru,Molo,Molo,Circular Construction Materials,PWD-owned,15,Not Registered,2018,2,Equipment/machinery,-0.258094,36.06203
288,Nakuru Plastics Recyclers 288,Nakuru,Naivasha East,Naivasha East,Plastics and Packaging,Women-owned,3,Registered,2025,4,Technical training,-0.227366,36.106872
289,Nakuru Packaging Solutions 289,Nakuru,Molo,Molo,Plastics and Packaging,Youth-owned,5,Registered,2024,1,Certification/standards,-0.2728,36.146354
290,Nakuru Green Building Materials 290,Nakuru,Rongai,Rongai,Circular Construction Materials,General/Other,8,Registered,2022,2,Equipment/machinery,-0.335575,36.123851
291,Nakuru Recycled Blocks Co 291,Nakuru,Molo,Molo,Circular Construction Materials,Women-owned,8,Not Registered,2024,3,Market linkages,-0.186483,35.93362
292,Nakuru TechWaste Solutions 292,Nakuru,Molo,Molo,Electrical and Electronic Waste (E-waste),General/Other,15,Registered,2019,1,Access to finance,-0.248217,36.158818
293,Nakuru Textile Upcyclers 293,Nakuru,Nakuru East,Nakuru East,Textiles,Youth-owned,8,Not Registered,2016,5,Equipment/machinery,-0.168496,36.049393
294,Nakuru Reclaimed Materials 294,Nakuru,Molo,Molo,Circular Construction Materials,Youth-owned,12,Registered,2024,2,Market linkages,-0.407296,35.955079
295,Nakuru PET Collectors 295,Nakuru,Rongai,Rongai,Plastics and Packaging,Youth-owned,8,Registered,2024,2,Access to finance,-0.321854,36.216028
296,Nakuru Recycled Blocks Co 296,Nakuru,Njoro,Njoro,Circular Construction Materials,Youth-owned,3,Not Registered,2017,1,Certification/standards,-0.253276,36.127416
297,Nakuru TechWaste Solutions 297,Nakuru,Molo,Molo,Electrical and Electronic Waste (E-waste),Youth-owned,25,Not Registered,2019,3,Market linkages,-0.297933,36.176752
298,Nakuru Plastics Recyclers 298,Nakuru,Njoro,Njoro,Plastics and Packaging,Youth-owned,2,Registered,2023,5,Certification/standards,-0.210968,36.011594
299,Nakuru Compost Works 299,Nakuru,Bahati,Bahati,Organic Waste,Youth-owned,20,Not Registered,2018,1,Business registration support,-0.195292,35.980064
300,Nakuru Recycled Blocks Co 300,Nakuru,Nakuru East,Nakuru East,Circular Construction Materials,Youth-owned,3,Registered,2015,3,Equipment/machinery,-0.195493,35.933686
301,Nakuru EcoBrick Works 301,Nakuru,Naivasha East,Naivasha East,Circular Construction Materials,PWD-owned,15,Registered,2023,3,Access to finance,-0.356559,36.054877
302,Nakuru Packaging Solutions 302,Nakuru,Naivasha East,Naivasha East,Plastics and Packaging,General/Other,5,Not Registered,2019,1,Equipment/machinery,-0.211799,36.224424
303,Nakuru Compost Works 303,Nakuru,Molo,Molo,Organic Waste,Youth-owned,15,Registered,2020,3,Certification/standards,-0.316076,36.040676
304,Nakuru EcoBrick Works 304,Nakuru,Naivasha East,Naivasha East,Circular Construction Materials,General/Other,8,Registered,2023,2,Access to finance,-0.233361,36.093968
305,Nakuru Compost Works 305,Nakuru,Njoro,Njoro,Organic Waste,General/Other,4,Registered,2018,3,Access to finance,-0.452661,36.127191
306,Nakuru Electro Recovery 306,Nakuru,Nakuru East,Nakuru East,Electrical and Electronic Waste (E-waste),Youth-owned,12,Registered,2020,1,Market linkages,-0.161332,35.972712
307,Nakuru E-Waste Recyclers 307,Nakuru,Molo,Molo,Electrical and Electronic Waste (E-waste),General/Other,15,Registered,2025,1,Business registration support,-0.424427,35.970054
308,Nakuru Fabric Reclaim 308,Nakuru,Njoro,Njoro,Textiles,General/Other,10,Registered,2016,3,Technical training,-0.374803,36.024503
309,Nakuru Fabric Reclaim 309,Nakuru,Molo,Molo,Textiles,Women-owned,2,Registered,2018,3,Equipment/machinery,-0.420408,35.961697
310,Nakuru TechWaste Solutions 310,Nakuru,Bahati,Bahati,Electrical and Electronic Waste (E-waste),Youth-owned,25,Registered,2018,3,Certification/standards,-0.373598,35.965974
311,Nakuru Organic Waste Solutions 311,Nakuru,Nakuru East,Nakuru East,Organic Waste,Women-owned,5,Registered,2017,1,Certification/standards,-0.239753,36.22052
312,Nakuru Repurposed Plastics Co 312,Nakuru,Bahati,Bahati,Plastics and Packaging,Youth-owned,2,Registered,2018,1,Market linkages,-0.286314,36.095036
313,Nakuru Fabric Reclaim 313,Nakuru,Bahati,Bahati,Textiles,Women-owned,5,Not Registered,2016,5,Business registration support,-0.341428,36.119089
314,Nakuru Plastics Recyclers 314,Nakuru,Naivasha East,Naivasha East,Plastics and Packaging,Youth-owned,1,Not Registered,2015,3,Access to finance,-0.182351,36.063029
315,Nakuru Textile Waste Hub 315,Nakuru,Bahati,Bahati,Textiles,Youth-owned,6,Registered,2017,4,Market linkages,-0.206594,36.0485
316,Nakuru BioWaste Traders 316,Nakuru,Bahati,Bahati,Organic Waste,Women-owned,5,Registered,2023,2,Certification/standards,-0.188073,35.940395
317,Nakuru E-Waste Recyclers 317,Nakuru,Nakuru East,Nakuru East,Electrical and Electronic Waste (E-waste),Youth-owned,20,Not Registered,2023,5,Market linkages,-0.369167,35.971171
318,Nakuru Repurposed Plastics Co 318,Nakuru,Rongai,Rongai,Plastics and Packaging,Women-owned,6,Registered,2017,5,Business registration support,-0.345366,36.093355
319,Nakuru PET Collectors 319,Nakuru,Molo,Molo,Plastics and Packaging,General/Other,12,Registered,2024,1,Equipment/machinery,-0.387394,36.198729
320,Nakuru Fabric Reclaim 320,Nakuru,Nakuru East,Nakuru East,Textiles,Women-owned,15,Not Registered,2021,1,Market linkages,-0.378743,36.002346
321,Nakuru Organic Waste Solutions 321,Nakuru,Naivasha East,Naivasha East,Organic Waste,PWD-owned,1,Not Registered,2020,3,Business registration support,-0.382135,36.025401
322,Nakuru Reclaimed Materials 322,Nakuru,Naivasha East,Naivasha East,Circular Construction Materials,General/Other,5,Registered,2015,4,Business registration support,-0.284167,35.98647
323,Nakuru Plastics Recyclers 323,Nakuru,Naivasha East,Naivasha East,Plastics and Packaging,Women-owned,4,Not Registered,2020,3,Business registration support,-0.272601,35.935978
324,Nakuru Thrift & Mend 324,Nakuru,Nakuru East,Nakuru East,Textiles,General/Other,6,Not Registered,2020,1,Business registration support,-0.446526,36.105983
325,Nakuru E-Waste Hub 325,Nakuru,Nakuru East,Nakuru East,Electrical and Electronic Waste (E-waste),General/Other,10,Registered,2017,4,Certification/standards,-0.352132,36.026781
326,Nakuru Reclaimed Materials 326,Nakuru,Njoro,Njoro,Circular Construction Materials,Youth-owned,25,Registered,2017,3,Certification/standards,-0.386129,36.106685
327,Nakuru EcoPack 327,Nakuru,Bahati,Bahati,Plastics and Packaging,Women-owned,6,Not Registered,2024,2,Business registration support,-0.197873,36.161249
328,Nakuru Textile Waste Hub 328,Nakuru,Nakuru East,Nakuru East,Textiles,PWD-owned,6,Registered,2016,2,Technical training,-0.172094,35.972193
329,Nakuru Black Soldier Fly Farm 329,Nakuru,Nakuru East,Nakuru East,Organic Waste,Youth-owned,25,Registered,2021,3,Access to finance,-0.373536,36.004862
330,Nakuru Electro Recovery 330,Nakuru,Naivasha East,Naivasha East,Electrical and Electronic Waste (E-waste),Women-owned,2,Not Registered,2024,5,Equipment/machinery,-0.187734,36.077925
331,Nakuru Fabric Reclaim 331,Nakuru,Bahati,Bahati,Textiles,Youth-owned,2,Registered,2017,3,Technical training,-0.430987,36.183729
332,Nakuru Circuit Reclaim 332,Nakuru,Rongai,Rongai,Electrical and Electronic Waste (E-waste),General/Other,15,Not Registered,2015,3,Business registration support,-0.430599,36.21255
333,Nakuru Circuit Reclaim 333,Nakuru,Molo,Molo,Electrical and Electronic Waste (E-waste),Youth-owned,8,Not Registered,2023,2,Market linkages,-0.186174,35.977131
334,Nakuru BioWaste Traders 334,Nakuru,Njoro,Njoro,Organic Waste,Women-owned,1,Registered,2021,4,Market linkages,-0.381836,35.944891
335,Nakuru PET Collectors 335,Nakuru,Rongai,Rongai,Plastics and Packaging,Youth-owned,20,Registered,2016,2,Market linkages,-0.265573,36.074099
336,Nakuru E-Waste Recyclers 336,Nakuru,Njoro,Njoro,Electrical and Electronic Waste (E-waste),General/Other,20,Registered,2017,3,Access to finance,-0.217637,36.071283
337,Nakuru Black Soldier Fly Farm 337,Nakuru,Njoro,Njoro,Organic Waste,Women-owned,5,Registered,2017,3,Market linkages,-0.397125,35.943385
